address,lat,long,nearest_mrt,dist_to_mrt,nearest_prisch,is_<2km_prisch,nearest_top20,is_<2km_top20,time_to_city,nearest_mall,dist_to_mall,dist_to_city
406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407,Ang Mo Kio,1.0073043721454118,TOWNSVILLE PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,35.85,AMK Hub,1.0030181185551328,8.629127718695292
108 ANG MO KIO AVE 4,1.37094273993858,103.837974822369,Ang Mo Kio,1.2963836061026528,ANG MO KIO PRIMARY SCHOOL,1,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,39.96666666666667,Broadway Plaza,0.8969421626560834,9.731557673340756
602 ANG MO KIO AVE 5,1.38070883044889,103.835368226602,Yio Chu Kang,1.0697196412148706,MAYFLOWER PRIMARY SCHOOL,1,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,42.766666666666666,Broadway Plaza,1.5277222757675066,10.844035991463175
465 ANG MO KIO AVE 10,1.36620104082939,103.85720096723499,Ang Mo Kio,0.9468843821133064,TECK GHEE PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,36.96666666666667,myVillage ,0.8801467932815877,9.110989819148049
601 ANG MO KIO AVE 5,1.3810413478449601,103.835131744823,Yio Chu Kang,1.0925769800020873,MAYFLOWER PRIMARY SCHOOL,1,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,42.766666666666666,Broadway Plaza,1.5714430590030908,10.884682197651358
150 ANG MO KIO AVE 5,1.37680678506744,103.84201796257601,Yio Chu Kang,0.636476106240742,MAYFLOWER PRIMARY SCHOOL,1,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,41.38333333333333,Broadway Plaza,0.6955758672130207,10.316672527961945
447 ANG MO KIO AVE 10,1.36747901420816,103.855967139125,Ang Mo Kio,0.7637034143040617,TECK GHEE PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,39.53333333333333,AMK Hub,0.8577878746617321,9.243651191713868
218 ANG MO KIO AVE 1,1.36511908595885,103.841742478489,Ang Mo Kio,1.0279104842756004,ANG MO KIO PRIMARY SCHOOL,1,AI TONG SCHOOL,1,39.316666666666656,AMK Hub,0.8767614046838902,9.035786605269818
571 ANG MO KIO AVE 3,1.37005500420091,103.85488056691901,Ang Mo Kio,0.5890078997660169,JING SHAN PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,0,38.03333333333333,AMK Hub,0.7195371780950316,9.522626934905073
534 ANG MO KIO AVE 10,1.37405846295582,103.85416817042601,Ang Mo Kio,0.6772940945579057,JING SHAN PRIMARY SCHOOL,1,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,40.91666666666667,Jubilee Square,0.7480040486063574,9.962354498210932
233 ANG MO KIO AVE 3,1.36754924977905,103.836740628478,Ang Mo Kio,1.455729629138644,ANG MO KIO PRIMARY SCHOOL,1,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,39.9,Broadway Plaza,1.1362970251087692,9.384200101028648
235 ANG MO KIO AVE 3,1.36682360872342,103.83649123351,Ang Mo Kio,1.4998845685462403,ANG MO KIO PRIMARY SCHOOL,1,AI TONG SCHOOL,1,41.566666666666656,Broadway Plaza,1.197191167129606,9.310176337858802
219 ANG MO KIO AVE 1,1.3659819800450501,103.840654039612,Ang Mo Kio,1.090127255541755,ANG MO KIO PRIMARY SCHOOL,1,AI TONG SCHOOL,1,40.38333333333333,Broadway Plaza,0.8854394240137206,9.145780738762776
536 ANG MO KIO AVE 10,1.3744737851973798,103.85410051582599,Ang Mo Kio,0.7029807285522017,JING SHAN PRIMARY SCHOOL,1,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,41.2,Jubilee Square,0.7577272035595939,10.008042789039493
230 ANG MO KIO AVE 3,1.36875041500146,103.837993360863,Ang Mo Kio,1.2980172409348139,ANG MO KIO PRIMARY SCHOOL,1,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,42.7,Broadway Plaza,0.9554457133467044,9.491827163976419
570 ANG MO KIO AVE 3,1.3697435855576,103.856023138277,Ang Mo Kio,0.7168286648050216,JING SHAN PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,0,39.73333333333333,AMK Hub,0.8429669601139707,9.49403568479969
624 ANG MO KIO AVE 4,1.38156171229824,103.84000226873002,Yio Chu Kang,0.5480762594945826,ANDERSON PRIMARY SCHOOL,1,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,42.65,Broadway Plaza,1.2547473434748608,10.864043281080104
441 ANG MO KIO AVE 10,1.36605027829032,103.854168309853,Ang Mo Kio,0.6730470527348266,TECK GHEE PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,40.91666666666667,AMK Hub,0.7270293105201332,9.077266477623569
